theta_rz_0,theta_rz_1,theta_rz_2,theta_rz_3,theta_rz_4,theta_rz_5,theta_rz_6,theta_rz_7,theta_rz_8,theta_rz_9
193.2877765,193.2531413,193.2877765,193.1534474,193.2914591,172.1879481,28.88742137,193.3049578,193.1534474,193.2877765
193.2931674,193.2585977,193.2931674,193.0517207,193.3005719,172.0908278,28.89079532,193.3103113,193.0517207,193.2931674
193.2928933,193.2550129,193.2928933,192.949982,193.2969793,172.0913685,28.89061054,193.3122198,192.949982,193.2928933
193.2914533,193.2536649,193.2914533,192.8482315,193.2958337,172.09077,28.889687,193.3111101,192.8482315,193.2914533
193.2878334,193.2501222,193.2878334,192.746469,193.2922991,172.0886696,28.88739232,193.3074915,192.746469,193.2878334
193.1865129,193.148688,193.1865129,192.6446947,193.1909923,171.9618409,28.76086011,193.2062304,192.6446947,193.1865129
193.0851796,193.0472412,193.0851796,192.5429085,193.0896727,171.8350019,28.63431327,193.1049564,192.5429085,193.0851796
192.9838335,192.9457819,192.9838335,192.4411105,192.9883403,171.7081528,28.50775183,193.0036694,192.4411105,192.9838335
192.8824747,192.8443101,192.8824747,192.3393006,192.8869951,171.5812936,28.38117583,192.9023696,192.3393006,192.8824747
192.781103,192.7428257,192.781103,192.2374789,192.7856372,171.4544243,28.25458529,192.8010569,192.2374789,192.781103
192.6797187,192.6413289,192.6797187,192.1356455,192.6842665,171.327545,28.12798024,192.6997313,192.1356455,192.6797187
193.2589017,193.221734,193.2589017,192.1479454,193.2633969,172.0720396,28.86951918,193.2783186,192.1479454,193.2589017
193.2566955,193.2195975,193.2566955,192.209153,193.2613039,172.0703917,28.86763334,193.2760758,192.209153,193.2566955
193.2575939,193.2205688,193.2575939,192.2703489,193.2621927,172.0714165,28.8681781,193.2774408,192.2703489,193.2575939
193.2548975,193.2179475,193.2548975,192.3315332,193.2594871,172.0699653,28.86646544,193.27488,192.3315332,193.2548975
193.2510171,193.2141427,193.2510171,192.3927058,193.2555972,172.0676957,28.86400449,193.2709577,192.3927058,193.2510171
